,l2 error,nb components,L1 relative error
AVERAGE,1.3936,5.0144,8.5010
ACG-LP,3.1394,4.0000,20.0555
ACG-RM,1.9068,4.0000,11.8204
AML-LY,0.8487,6.0000,6.2133
AML-PT,4.4309,4.0000,22.0768
AND-LN,1.4020,5.0000,10.8329
ARB-CH,1.0986,5.0000,7.9594
AUC-BF1,1.5754,5.0000,8.0580
AUC-BF2,2.3613,4.0000,11.6044
AUC-BF3,1.1318,6.0000,8.3751
AUC-BF4,0.9127,6.0000,5.5078
AVL-NS,2.6401,4.0000,18.1283
BAI-LB,1.2441,4.0000,8.1400
BAI-VL,2.2270,4.0000,14.0454
BAU-LM,1.1485,6.0000,7.0433
BBT-BG,0.9135,6.0000,5.2730
BBT-LG,1.3215,7.0000,8.2877
BED-BD,0.8235,5.0000,4.1251
BED-GR,0.7812,5.0000,5.1742
BED-LB1,0.7028,5.0000,4.1689
BED-LB10,0.7186,5.0000,5.2782
BED-LB11,1.0896,5.0000,7.7010
BED-LB12,0.7445,5.0000,4.9105
BED-LB13,1.2908,4.0000,8.2505
BED-LB14,0.8961,5.0000,6.6796
BED-LB2,0.6314,5.0000,4.3660
BED-LB3,0.9434,5.0000,4.3107
BED-LB4,0.5671,5.0000,3.9533
BED-LB5,0.8942,5.0000,6.3499
BED-LB6,0.8143,5.0000,6.0531
BED-LB7,0.8894,5.0000,6.1605
BED-LB8,0.9334,5.0000,6.7156
BED-LB9,0.8288,5.0000,6.1807
BED-LH,1.2430,6.0000,7.3904
BED-LR,0.7504,5.0000,4.6463
BED-LT1,0.6175,5.0000,3.8180
BED-LT2,0.7092,5.0000,3.7145
BED-MJ1,0.8407,5.0000,5.4827
BED-MJ2,1.8958,4.0000,11.4333
BER-GH,0.9335,6.0000,6.3851
BER-NQ1,1.4994,6.0000,8.3744
BER-NQ2,1.2732,7.0000,10.4924
BET-PL,0.8336,5.0000,5.0513
BGB-LT,1.6713,5.0000,11.1735
BGY-BB,0.7244,5.0000,4.1389
BGY-BP2,0.8534,5.0000,4.8171
BGY-BPS,1.7463,4.0000,8.2686
BGY-CB,0.6940,5.0000,4.9615
BGY-LCH,0.8996,5.0000,4.9625
BGY-LCO,1.1356,5.0000,5.7126
BGY-LF,0.9377,5.0000,6.0158
BGY-MT,0.6828,5.0000,4.4571
BGY-TB,0.8640,5.0000,4.1358
BHD-VM,1.1858,5.0000,8.0057
BHN-BS,1.1283,4.0000,6.5989
BHN-QV,0.8346,5.0000,4.3144
BLR-BG,1.5677,7.0000,12.4387
BLR-FT,1.5243,6.0000,11.8695
BLR-LH,0.9889,5.0000,6.8465
BMO-BG,1.2911,5.0000,5.4314
BOV-BG,1.4882,5.0000,8.5015
BOV-LP,1.2691,6.0000,9.5427
BPC-LH,1.5714,7.0000,8.3903
BRC-LB,1.7521,4.0000,11.4876
BRG-LF,1.2883,7.0000,10.1737
BRG-ML,1.2573,5.0000,6.3575
BRL-BG,1.0060,5.0000,6.9775
BRL-BV,2.4448,4.0000,16.6191
BRL-RG,1.0717,6.0000,7.5930
BRM-LT,1.1646,7.0000,8.6577
BRO-KM,1.2403,5.0000,8.0217
BRO-LH,1.6011,6.0000,10.2241
BRO-VO,0.8181,5.0000,4.2384
BRO-VS,0.8855,5.0000,6.2465
BRT-LS,1.4388,5.0000,10.5595
BRU-GL,1.4272,7.0000,11.3361
BRU-VH,1.1493,6.0000,6.5517
BRV-HF,2.3906,4.0000,15.5599
BRZ-RH,1.1526,7.0000,9.6516
BZP-LC,0.8036,5.0000,4.5884
CAG-BG,1.2218,5.0000,7.5169
CAR-IC1,2.4485,4.0000,11.3681
CAR-IC2,0.9770,5.0000,5.5519
CAU-CL,1.4625,5.0000,10.3889
CAU-HE,1.4968,5.0000,10.8396
CAU-LR,1.0312,7.0000,7.3681
CAU-LV,1.1061,5.0000,6.2600
CES-CH,0.6640,5.0000,4.2617
CES-FG,1.9871,4.0000,13.0880
CES-NV,4.0151,1.0000,24.0598
CES-PT,1.3548,4.0000,8.8505
CHA-GB1,1.0758,5.0000,6.3841
CHA-GB2,0.9708,5.0000,6.3632
CHB-QM1,0.8011,5.0000,4.9463
CHB-QM2,1.0248,5.0000,6.4118
CHE-CH,1.2045,5.0000,8.9255
CHG-GE,1.0202,7.0000,7.5108
CHI-DL,1.5481,5.0000,10.3847
CHL-CR,1.6973,4.0000,11.7386
CHL-RT,1.2313,5.0000,8.5373
CHM-BG,4.0414,4.0000,19.2772
CHN-BG,1.3366,5.0000,9.3280
CHP-BG,1.1945,3.0000,7.7463
CHS-LM,2.6136,5.0000,20.7458
CHT-BB,1.4367,5.0000,10.6456
CHT-GB,1.0396,6.0000,7.1449
CHV-BC,0.9949,7.0000,7.8653
CIN-BG,1.1632,5.0000,7.2712
CIN-LB1,6.5843,1.0000,41.0332
CIN-LB2,0.7487,5.0000,5.5333
CIN-LP,1.1916,5.0000,8.6810
CMB-LR,2.1535,4.0000,10.1338
CMP-LG,1.4487,4.0000,9.7856
CNI-LB,0.7929,5.0000,5.9321
CNI-LG,1.1792,4.0000,7.3283
COL-CH,0.8145,5.0000,4.4544
COM-LM,0.7016,5.0000,5.5069
CON-LR,1.7862,7.0000,12.1724
CON-SM,1.3972,5.0000,9.2793
COR-BR,1.6102,4.0000,8.5908
COR-LC1,0.8541,5.0000,5.3807
COR-LC2,1.1090,3.0000,5.7158
COR-LF,0.9954,5.0000,4.7580
COR-TR,0.7026,5.0000,4.2569
CRD-LT,1.5135,5.0000,9.4179
CRD-LV,1.5742,5.0000,10.7583
CRD-PP1,0.9617,5.0000,5.7449
CRD-PP2,0.9773,5.0000,4.9549
CRD-PP3,1.1346,6.0000,8.6729
CRD-VP,0.8438,5.0000,4.8087
CRE-BZ,1.6203,4.0000,8.7853
CRE-RH,1.8977,4.0000,11.2817
CRH-LB,1.4140,4.0000,8.3553
CRH-LC,0.8783,7.0000,5.9331
CRH-LM1,1.2250,7.0000,7.8383
CRH-LM2,0.9731,7.0000,6.6305
CRH-LM3,1.0337,7.0000,7.1586
CRH-LM4,1.0199,7.0000,5.5057
CRH-LM5,2.4799,5.0000,17.9274
CRH-LR,0.8450,5.0000,5.6688
CRN-CH1,0.7393,6.0000,5.2955
CRN-CH2,0.9722,6.0000,7.7205
CRN-LP,1.2422,4.0000,8.3453
CRX-LC,1.6278,4.0000,10.5186
DDN-BT,0.9051,5.0000,6.2420
DNG-BE,1.0733,6.0000,6.2354
DNG-LM,1.3342,7.0000,11.9541
DOL-HD,1.7461,4.0000,12.0340
DOM-LL,1.0087,5.0000,7.4742
DOM-LT,5.2476,3.0000,22.5359
DOM-MG,1.0763,5.0000,8.2523
DOO-EC,2.1049,4.0000,10.9835
DRG-LR,1.5269,5.0000,9.1986
EPN-LB,1.7464,5.0000,8.0473
EPN-VJ,0.8127,6.0000,5.8517
ERC-CP,0.7029,5.0000,4.2592
ERC-CR,1.0393,5.0000,5.6912
ERC-CT,0.9832,5.0000,7.2643
ERC-EQ,0.6673,5.0000,4.2176
ERC-SM,0.8341,5.0000,5.9315
ESS-LL,1.0441,5.0000,7.3816
ETR-LB1,1.2258,4.0000,6.2803
ETR-LB2,1.5874,4.0000,10.1212
EVG-VN1,1.0950,5.0000,6.6877
EVG-VN2,1.5086,4.0000,8.7906
EVN-LO,3.6386,2.0000,21.1259
EVN-LR,1.4595,5.0000,8.5968
FFT-LB,1.2200,5.0000,8.5583
GAE-BE,1.1645,6.0000,8.0545
GAE-BO,2.1569,5.0000,15.5934
GAE-LB,1.2614,5.0000,8.5815
GAE-LC,1.0885,5.0000,7.7231
GAE-LE,1.0275,5.0000,7.8898
GAE-LEbis,2.0781,4.0000,9.9118
GAE-LES1,1.0828,5.0000,7.7353
GAE-LES2,1.2933,5.0000,7.3005
GAE-LES3,3.0051,1.0000,21.0844
GAE-LG,0.9955,5.0000,6.2095
GAE-LL,3.8394,2.0000,21.1067
GAE-LM,1.6276,4.0000,9.1013
GAE-LMS,1.3869,4.0000,8.4106
GAE-LP,0.6374,5.0000,4.2023
GAE-LT,1.5913,6.0000,10.8246
GAE-PE,1.0739,5.0000,8.6104
GAE-PG,1.2261,5.0000,9.2250
GAE-QU,0.7413,5.0000,4.3939
GAE-QUbis,1.8078,4.0000,10.4057
GAE-QUS,1.0320,5.0000,7.5442
GAE-VG,0.6274,5.0000,3.6927
GAU-MB,1.0613,7.0000,6.5879
GCH-CH,0.8094,5.0000,5.7696
GCH-LR,1.2653,5.0000,8.3764
GEN-OU,1.2165,4.0000,6.2416
GGN-LB,1.5513,6.0000,12.1376
GHD-LP,1.0755,7.0000,8.6376
GIP-LJ,1.2972,7.0000,8.5329
GIP-MM,2.7958,2.0000,14.4581
GIT-CL,0.7965,5.0000,5.1016
GIT-LC,1.1189,6.0000,8.2222
GIT-LD,1.6669,5.0000,12.1643
GIT-VN,1.1805,4.0000,7.6095
GLM-CA,2.0261,4.0000,13.0880
GLR-CA,1.9667,5.0000,12.2400
GLR-LM,0.9106,5.0000,5.7480
GLR-LR,1.2878,4.0000,7.5967
GLT-KF,0.9641,5.0000,6.1340
GOM-PL,0.8679,6.0000,5.4118
GON-BG,0.8447,5.0000,4.7228
GON-CT,1.4354,4.0000,7.4902
GON-LM,0.8304,5.0000,4.0494
GOS-LB,2.2218,7.0000,15.7745
GOU-LQ,1.2962,5.0000,6.2367
GOV-HE,1.2898,6.0000,8.3364
GPY-LB,1.5712,5.0000,10.4651
GPY-LP,0.8786,5.0000,6.6162
GPY-MP,2.0027,4.0000,13.0066
GRC-BM,1.3718,5.0000,9.8905
GVZ-CP1,0.8789,5.0000,5.4777
GVZ-CP2,2.7033,4.0000,16.8956
GVZ-LC,0.9553,5.0000,5.1371
GVZ-LP,1.1006,5.0000,6.8186
GVZ-LR1,0.9008,5.0000,4.8633
GVZ-LR2,1.1490,5.0000,7.3833
GVZ-LR3,1.1013,5.0000,7.0110
GVZ-PG,2.6760,4.0000,13.6764
GVZ-TC,0.7318,5.0000,4.5046
HEB-LG,0.9177,5.0000,6.9877
HEB-LL,2.7679,5.0000,13.5930
HED-LJ,1.9150,5.0000,9.9681
HEN-HJ,1.1946,5.0000,6.9585
HEN-VP,0.8106,5.0000,6.2759
HER-BB,1.8141,7.0000,12.2996
HIL-LM,1.4094,5.0000,8.5677
HIR-LT,1.1941,5.0000,8.5916
HUL-FT,0.8942,7.0000,5.8981
HUL-LF1,0.9734,5.0000,5.9284
HUL-LF2,1.0870,6.0000,5.9363
IFD-AU1,1.5110,5.0000,9.7587
IFD-AU2,1.6952,5.0000,11.5793
IFD-AU3,4.5584,2.0000,25.9630
IFD-AU4,0.9716,5.0000,6.3998
IFD-AU5,1.3651,5.0000,9.0214
IFD-BR1,1.2146,7.0000,7.5509
IFD-BR2,3.2775,3.0000,17.9399
IFD-CG,0.7934,5.0000,4.7543
IFD-CT,1.6228,5.0000,9.0476
IFD-GC,1.3083,5.0000,8.8330
IFD-LV(2),1.2200,6.0000,6.8861
IFD-LV1,1.1342,7.0000,8.4289
IFD-LV2,1.0954,5.0000,6.2940
IFD-MH1,0.7362,5.0000,5.1537
IFD-MH2,0.8820,5.0000,6.1338
IFD-VA,2.6241,4.0000,11.7452
IFD-VG,1.0216,5.0000,8.0831
ILF-BR,0.7263,5.0000,4.6514
ILF-PL,0.9850,5.0000,6.1967
IRD-AM1,1.1909,5.0000,5.8547
IRD-AM2,0.8408,5.0000,4.1663
IRD-AM3,0.6262,5.0000,4.2635
IRD-AM4,0.5928,5.0000,3.6983
IRD-AM5,0.8598,5.0000,4.7242
IRD-AM6,1.5311,4.0000,7.5440
IRD-AM7,1.0210,5.0000,5.5714
IRD-AM8,2.3947,3.0000,14.3040
IRD-AM9,2.9799,3.0000,18.2380
IRD-AU,1.0120,5.0000,6.9231
IRD-BG1,1.4512,4.0000,9.6696
IRD-BG2,0.9615,5.0000,6.2070
IRD-BI,0.7884,5.0000,4.8216
IRD-BM,1.2155,5.0000,6.6183
IRD-BO,0.7397,5.0000,4.2710
IRD-BS,0.8462,5.0000,4.5485
IRD-BV1,1.2810,4.0000,7.5769
IRD-BV2,0.5320,5.0000,3.3764
IRD-CL,0.9446,6.0000,7.0783
IRD-CR,0.9089,5.0000,5.2756
IRD-GA,0.9277,5.0000,5.8137
IRD-HI,0.7646,5.0000,4.6740
IRD-HO,0.9130,5.0000,5.0320
IRD-LB1,2.7127,2.0000,17.2793
IRD-LB2,2.1191,4.0000,9.6889
IRD-LB3,0.8101,5.0000,5.4775
IRD-LC,0.8258,5.0000,4.7225
IRD-LG,0.8986,5.0000,5.5955
IRD-LH,1.0079,5.0000,5.1480
IRD-LM1,2.2079,4.0000,13.8172
IRD-LM2,0.9310,5.0000,5.7124
IRD-LM3,0.6678,5.0000,4.1177
IRD-LN1,0.9191,5.0000,5.3930
IRD-LN2,1.0483,5.0000,6.2511
IRD-LP1,0.8540,5.0000,5.2990
IRD-LP1b,0.6173,5.0000,4.5542
IRD-LP2,0.7357,5.0000,4.8196
IRD-LP3,0.7960,5.0000,4.9218
IRD-LP4,0.8315,5.0000,5.5278
IRD-LP5,0.6943,5.0000,4.6516
IRD-LP5b,0.7051,5.0000,5.0430
IRD-LP6,1.3976,4.0000,9.2400
IRD-LP7,1.9284,4.0000,12.5412
IRD-LP8,1.8051,5.0000,12.7018
IRD-MA,0.9884,5.0000,6.2898
IRD-MH,0.7978,5.0000,4.7775
IRD-OI,0.7961,5.0000,4.8335
IRD-PB,0.7470,5.0000,5.2759
IRD-PM1,1.0584,5.0000,6.6267
IRD-PM10,0.7349,5.0000,4.3440
IRD-PM2,1.3699,5.0000,8.4930
IRD-PM3,2.1540,4.0000,13.2049
IRD-PM4,1.9217,3.0000,11.2842
IRD-PM5,0.7480,5.0000,4.9061
IRD-PM7,1.0889,5.0000,5.7771
IRD-PM8,3.2937,3.0000,19.3939
IRD-PM9a,0.6615,5.0000,3.8505
IRD-PM9b,0.7983,5.0000,4.7947
IRD-PM9c,1.3591,4.0000,8.6308
IRD-PM9d,1.6940,4.0000,10.7933
IRD-PM9e,2.9039,4.0000,18.9913
IRD-PM9f,2.8938,3.0000,18.1367
IRD-PP,0.7282,5.0000,4.2402
IRD-PT1,1.1511,5.0000,5.4386
IRD-PT2,1.4337,4.0000,8.5405
IRD-PT3,1.1436,5.0000,6.6418
IRD-PY,1.0060,5.0000,4.9843
IRD-RR1,0.8146,5.0000,4.4130
IRD-RR2,0.7117,5.0000,4.1196
IRD-VP,0.8313,5.0000,4.7148
IRD-VS1,0.9046,5.0000,4.7515
IRD-VS2,0.7591,5.0000,3.7680
IRD-VS3,7.1769,5.0000,29.6051
IRD-VS4,0.8274,5.0000,4.4225
JNZ-GD,1.3079,4.0000,8.5432
JNZ-LC,3.0960,4.0000,22.2068
JNZ-VL,0.8897,5.0000,6.0384
LAG-CA,0.8522,5.0000,4.4105
LAH-CG,1.8189,7.0000,8.9696
LAI-BL,1.3231,6.0000,9.8062
LAL-BG,1.0482,5.0000,6.3343
LAM-LG,2.3739,4.0000,15.7652
LAN-CV,1.1703,5.0000,7.3215
LAN-KR,0.9618,5.0000,4.4742
LAR-SR,0.9357,5.0000,4.6795
LAT-VF,1.0820,6.0000,8.0114
LAY-BG,1.0684,6.0000,6.8566
LBC-LC,2.8619,4.0000,12.9634
LBR-LB,1.1573,4.0000,7.8099
LBR-PC,1.2956,4.0000,8.4860
LBS-LV,0.6823,5.0000,4.0186
LBX-CF,0.9039,6.0000,5.7125
LBX-GF,1.7948,7.0000,14.1465
LCB-LG,0.7022,5.0000,4.5803
LCC-FT,0.8111,5.0000,4.2723
LCC-HH,2.6846,4.0000,11.5598
LCC-LB,1.8832,4.0000,8.4164
LCC-PB,1.5740,4.0000,7.4972
LCF-LC1,1.3243,4.0000,7.2111
LCF-LC2,0.8558,5.0000,5.8891
LCG-BG,0.7534,5.0000,4.2410
LCL-PB,2.6953,4.0000,11.2003
LCR-LM,0.7249,5.0000,4.1307
LCR-PL1,2.4118,3.0000,13.4839
LCR-PL2,3.5987,4.0000,21.9996
LCT-BG1,1.5702,5.0000,12.1948
LCT-BG2,1.4111,5.0000,11.0899
LCY-LC,0.7876,5.0000,4.9553
LCY-LR,0.9165,5.0000,6.2130
LDB-BG,1.5631,5.0000,8.4739
LDC-LE,1.1520,5.0000,6.2011
LDC-LP,3.1663,3.0000,20.6784
LDC-LT,1.2332,4.0000,6.7950
LDC-VB1,1.2973,4.0000,7.5407
LDC-VB2,1.4873,7.0000,10.5856
LDJ-BG1,1.8166,4.0000,11.7256
LDJ-BG2,0.8499,5.0000,6.5868
LDJ-BQ,1.4716,5.0000,9.1249
LDJ-CM,0.8798,5.0000,5.6740
LDJ-LV,0.9265,5.0000,5.3383
LFE-LP,0.9194,5.0000,5.8862
LFF-HS,1.0620,5.0000,7.4632
LFG-CB,1.3666,4.0000,8.1513
LFR-BG,1.3063,5.0000,6.1708
LFT-BC,2.1639,5.0000,13.9843
LFY-LB,1.3943,4.0000,9.1974
LFY-LF,1.5171,5.0000,9.9366
LGA-BS,1.4746,5.0000,9.8884
LGA-LP,1.0171,5.0000,5.1948
LGA-VR1,0.8455,5.0000,4.9097
LGA-VR2,0.9082,6.0000,5.1714
LGF-LM,1.4976,7.0000,11.1980
LGR-LB,1.0853,5.0000,7.2345
LGR-PL,3.6548,4.0000,18.2969
LHG-BG,1.3794,6.0000,9.2513
LIF-BB,0.7357,5.0000,4.4588
LIF-BG,0.8989,5.0000,5.1227
LIF-SG,1.6343,5.0000,10.7303
LLL-BH,0.8040,5.0000,4.8630
LLL-JG1,1.8821,2.0000,10.5147
LLL-JG2,2.5555,4.0000,11.4407
LME-LH,0.7171,5.0000,4.0561
LME-LP1,0.7873,5.0000,5.5701
LME-LP2,0.6788,5.0000,4.3016
LME-LP3,0.7320,5.0000,4.3758
LME-LP4,3.0052,4.0000,19.5869
LME-LP5,2.8808,4.0000,19.0587
LME-MG,0.6641,5.0000,4.6648
LMT-BG,0.9252,5.0000,4.2628
LMT-FL,1.1496,5.0000,5.3757
LMT-GL,1.3421,5.0000,8.0904
LMT-LC,1.2419,4.0000,7.3966
LMZ-GV,0.8494,5.0000,5.3073
LMZ-PR,0.8351,5.0000,4.6821
LNG-CT,0.8600,5.0000,5.0943
LNG-LB,0.7919,5.0000,4.6213
LNG-LC,0.6629,5.0000,4.0818
LNN-LC,2.1556,4.0000,13.8478
LNN-LP1,1.6949,5.0000,10.6619
LNN-LP2,1.9253,4.0000,11.8999
LNT-BG,1.0715,5.0000,7.9273
LNT-LC,0.7858,6.0000,5.5665
LNT-MJ,0.6889,5.0000,4.6300
LOC-AU1,0.8865,7.0000,6.4633
LOC-AU2,0.9782,7.0000,6.8826
LOS-LB,1.0821,5.0000,5.6535
LOS-RG,1.0055,5.0000,5.6708
LPT-BG,1.0151,6.0000,8.4405
LQI-LV1,1.8334,6.0000,12.1589
LQI-LV2,1.4504,5.0000,9.7691
LQI-VM,2.2710,4.0000,12.8453
LRH-LC,0.9516,5.0000,5.5077
LRH-LC1,1.1423,5.0000,6.8012
LRH-LC2,1.0700,5.0000,6.2450
LRH-LC3,0.9080,7.0000,5.1734
LRN-BRE1,0.9601,5.0000,5.4702
LRN-BRE2,1.0595,5.0000,6.4127
LRN-BRE3,1.1609,6.0000,7.0381
LRN-BRW1,1.3665,7.0000,6.8798
LRN-BRW2,1.1256,7.0000,7.2078
LRN-CAE1,1.5080,6.0000,8.2759
LRN-CAE2,1.7774,7.0000,9.6492
LRN-CAW1,1.1596,5.0000,6.3500
LRN-CAW2,0.9140,5.0000,6.3566
LRN-CG1,1.0159,5.0000,5.3079
LRN-CG2,1.0589,5.0000,4.7586
LRN-RD,0.8677,5.0000,5.9403
LRN-SU1,0.8796,5.0000,4.9583
LRN-SU2,1.1481,5.0000,5.0993
LRN-VG,1.2669,4.0000,5.3888
LRN-VH1,0.9123,5.0000,5.6098
LRN-VH2,0.8350,5.0000,4.7055
LRN-VH3,1.0324,6.0000,6.9585
LRO-LC1,1.2817,7.0000,11.1808
LRO-LC2,1.7445,4.0000,11.5632
