Abscisses,0.03,0.04,0.07,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.6,3,4,5,6,6.5,7,7.5,8,8.5,9,10,11,12,13,14,15,16,17,18,19,20,22,25,28,32,36,38,40,45,50,53,56,63,71,75,80,85,90,95,100,106,112,125,130,140,145,150,160,170,180,190,200,212,242,250,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
Argiles fines,0,3.67000617984246,5.26387157579374,6.80757589046489,17.500949121299,38.883107912253,24.8447931335233,3.02969618682357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argiles Classiques,0,0,0,0,0,0,0,0.0708456060657271,0.228424643186885,0.461168130685693,0.84945061229416,1.26781243577546,1.64963738608794,2.01078858629023,2.37628623804291,2.7172435949457,3.06164909465866,3.71940893343686,4.36007286236127,5.01026531964814,5.37356046546551,5.92626264395505,6.41215798377099,6.93387142451409,7.3201948169362,6.99451634508204,6.31659143581801,5.93327145772821,5.33046968592,4.5894876543516,3.8485056227832,3.10752359121479,2.36654155964639,1.13400954670006,0.539984847972192,0.0899974746620318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alterites,0,0,0,0,0,0.00667347186451211,0.0113871853336767,0.0164933197738685,0.0205334579082807,0.0307191698099412,0.0479033938306123,0.072276435046015,0.0925274089419244,0.118369473127603,0.146157859849733,0.175225542261962,0.200244052069774,0.255910679999553,0.319695494569719,0.388081067932,0.458704452027456,0.532545263323549,0.606989412583126,0.736517388606018,1.04926299952444,1.50028108911299,2.02817808958166,2.37711243987301,2.71788963507949,2.9655486634417,3.40330759436048,3.73927747505485,4.02297586312508,4.49854044762899,4.90167724627899,5.21610304716204,5.41465874074386,5.50562767780274,5.49847045245124,5.41094991076675,5.25578281994126,5.02816946948976,4.74214883884305,4.43930525459552,3.92191488061551,3.14128128436993,2.38324797963679,1.71941705779422,1.21346517373949,0.957010632604751,0.837550840826596,0.675336381978978,0.459293125923014,0.324886930150981,0.244145939492599,0.133267044288664,0.0369604448612605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limons grossiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219783763218758,0.00613810509890224,0.0147975734332152,0.0242922985582536,0.0337870236832919,0.0527764739333687,0.134929087881305,0.262197402221433,0.418107147918791,0.497164509595889,0.576221871272986,0.655279232950084,0.734336594627182,0.813393956304279,0.892451317981377,1.05056604133557,1.20868076468977,1.36679548804396,1.52491021139816,1.68302493475235,1.84113965810655,1.99925438146074,2.15736910481494,2.31548382816913,2.47359855152333,2.63171327487752,2.94891465024736,3.42761780392389,3.82647909581157,4.33071952403195,4.73092216651379,4.9250645045848,5.05833788173399,5.20034397155513,5.16109294355679,5.02574314339798,4.82839871001502,4.34559744551651,3.69402612957738,3.23014234396314,2.79533342644298,2.37343487377824,2.00662614318381,1.64842343862457,1.35662157943304,1.09070893023032,0.848296940460812,0.518543171670849,0.404032707276634,0.254988684110791,0.187090073504926,0.149758192440625,0.0990401476042028,0.0703881471061428,0.0412849157835981,0.024817981652294,0.01574871921589,0.0108549407864566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loess,0.000644589167364384,0.00573895763538689,0.00702059344306589,0.00600691858450038,0.0164012532137577,0.035619981555916,0.0319767850933958,0.0274343421763529,0.0431886108848967,0.0744225929787896,0.117284954040367,0.159885056925573,0.200836697215454,0.237565449572305,0.279652231377041,0.318119488034776,0.3519926184142,0.416630920572603,0.48424285719514,0.551574451894044,0.611604865024355,0.663525845856012,0.700453679999665,0.754783022976406,0.815587500898305,0.845790418108129,0.895007790762291,0.940396943171889,1.00348342385508,1.08041793552326,1.17966396441371,1.2882385087528,1.38676429688397,1.55837560267313,1.7065698680135,1.84494946024979,1.9531640531546,2.02549024440487,2.0785226451497,2.12727295591393,2.15530945071952,2.19791654824517,2.27055284870108,2.32689488563925,2.4936194551091,3.10096951517087,3.74519611714084,4.79594043904118,5.87345715251746,6.26496535113196,6.61104388887052,6.5904581976552,5.80222452266765,5.06148031410059,4.29470082131803,3.11583408329278,1.78686143039946,1.18353922031289,0.688106748667619,0.416732000543068,0.226634610301653,0.104107795497107,0.0465704478295334,0.0173037363961427,0.00327804297101341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loess sans limons grossiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101015590515639,0.295717409838481,0.629461099853647,0.963204789868813,1.29694847988398,1.63069216989914,1.96443585991431,2.29817954992948,2.63192323994464,3.08633934559476,4.29993599445765,5.33332461692988,6.83972129903445,8.38590617620653,8.96024169472878,9.47570466241975,9.44507925859654,8.30068261588861,7.2268379578143,6.10872202764767,4.42060793252869,2.53692906619061,1.67369958469644,0.962040395034377,0.580575803945924,0.314657344004781,0.143928704641867,0.0643764107641551,0.0243465786751517,0.00476434055095435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sables fins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491871086459695,0.185859007319089,0.322530905992208,0.459202804665327,0.595874703338447,0.732546602011566,0.869218500684685,1.0058903993578,1.14256229803092,1.27923419670404,1.41590609537716,1.6892498927234,2.08650708743655,2.48776175762357,2.96471927068768,3.55498526195683,3.79090013149893,3.99975028529819,4.52616728538102,4.93132862491728,5.07344012992388,5.17673280709204,5.31834075206935,5.31604801083115,5.16841624101709,4.86861257050065,4.52914566360945,4.13432556049968,3.78199880720023,3.45364381840978,3.05986844747776,2.76129908376195,2.01425888920219,1.82692165487419,1.2672624017052,1.13274997825683,0.945014979327713,0.697817903146674,0.511675040508274,0.338656543230366,0.231669355171019,0.156618648937076,0.0927084444803026,0.0344841561280745,0.0189078929883928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sables grossiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285766902795807,0.0633144564206125,0.0619051254534988,0.0979285396360341,0.283027163031277,0.622117338602094,1.1400017684024,1.69174101885787,3.02015191723522,3.63347587168758,4.28653549906606,4.72728423556076,5.08218400593445,5.96476835596721,6.73677440436028,7.51756688755383,8.05753344272458,8.34139273483142,8.54168190097828,8.14604420619031,7.92591453613354,6.78108088828057,4.57774096779653,2.26902923029981,0.402228814716179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


